,Area,Cancer Type,Year,Sex,Race,Age-Adjusted Rate,Case Count,Population,CancerType_val,Sex_val,Race_val
282,Maryland,Colon and Rectum,2018,Male and Female,Hispanic,6.2,24,626378,4,1,6
283,Connecticut,Colon and Rectum,2018,Male and Female,Hispanic,6.4,23,589825,4,1,6
284,Ohio,Colon and Rectum,2018,Male and Female,Hispanic,6.7,18,459088,4,1,6
285,North Carolina,Colon and Rectum,2018,Male and Female,Hispanic,7.2,28,994606,4,1,6
286,Washington,Colon and Rectum,2018,Male and Female,Hispanic,7.6,38,966855,4,1,6
287,Virginia,Colon and Rectum,2018,Male and Female,Hispanic,7.7,32,816546,4,1,6
288,Nevada,Colon and Rectum,2018,Male and Female,Hispanic,7.9,43,877290,4,1,6
289,Kansas,Colon and Rectum,2018,Male and Female,Hispanic,8.4,16,351378,4,1,6
290,New York,Colon and Rectum,2018,Male and Female,Hispanic,8.7,268,3743541,4,1,6
291,Indiana,Colon and Rectum,2018,Male and Female,Hispanic,8.9,19,475652,4,1,6
292,New Jersey,Colon and Rectum,2018,Male and Female,Hispanic,9.5,119,1828769,4,1,6
293,Massachusetts,Colon and Rectum,2018,Male and Female,Hispanic,9.6,41,838281,4,1,6
294,Georgia,Colon and Rectum,2018,Male and Female,Hispanic,10.1,47,1022370,4,1,6
295,Illinois,Colon and Rectum,2018,Male and Female,Hispanic,10.5,132,2204614,4,1,6
296,California,Colon and Rectum,2018,Male and Female,Hispanic,11.0,1155,15472859,4,1,6
297,Pennsylvania,Colon and Rectum,2018,Male and Female,Hispanic,11.0,55,973661,4,1,6
298,Louisiana,Colon and Rectum,2018,Male and Female,Hispanic,11.1,18,242798,4,1,6
299,Wisconsin,Colon and Rectum,2018,Male and Female,Hispanic,11.1,19,404469,4,1,6
300,Florida,Colon and Rectum,2018,Male and Female,Hispanic,11.6,632,5537857,4,1,6
301,Texas,Colon and Rectum,2018,Male and Female,Hispanic,12.6,936,11323903,4,1,6
302,Colorado,Colon and Rectum,2018,Male and Female,Hispanic,13.3,101,1233748,4,1,6
303,Oregon,Colon and Rectum,2018,Male and Female,Hispanic,13.4,26,553064,4,1,6
304,New Mexico,Colon and Rectum,2018,Male and Female,Hispanic,13.8,130,1027108,4,1,6
305,Arizona,Colon and Rectum,2018,Male and Female,Hispanic,13.9,186,2258856,4,1,6
306,Hawaii,Colon and Rectum,2018,Female,All Races and Ethnicities,7.3,81,709302,4,3,1
307,North Dakota,Colon and Rectum,2018,Female,All Races and Ethnicities,8.7,45,370046,4,3,1
308,Connecticut,Colon and Rectum,2018,Female,All Races and Ethnicities,8.7,240,1829397,4,3,1
309,Massachusetts,Colon and Rectum,2018,Female,All Races and Ethnicities,8.8,457,3542925,4,3,1
310,Utah,Colon and Rectum,2018,Female,All Races and Ethnicities,8.8,128,1565310,4,3,1
311,Colorado,Colon and Rectum,2018,Female,All Races and Ethnicities,9.3,304,2825526,4,3,1
312,Montana,Colon and Rectum,2018,Female,All Races and Ethnicities,9.4,69,526813,4,3,1
313,Washington,Colon and Rectum,2018,Female,All Races and Ethnicities,9.4,455,3758918,4,3,1
314,New Mexico,Colon and Rectum,2018,Female,All Races and Ethnicities,9.5,135,1057201,4,3,1
315,New Hampshire,Colon and Rectum,2018,Female,All Races and Ethnicities,9.5,97,682692,4,3,1
316,Arizona,Colon and Rectum,2018,Female,All Races and Ethnicities,9.9,477,3600640,4,3,1
317,New York,Colon and Rectum,2018,Female,All Races and Ethnicities,10.0,1415,10046133,4,3,1
318,California,Colon and Rectum,2018,Female,All Races and Ethnicities,10.2,2501,19843136,4,3,1
319,Minnesota,Colon and Rectum,2018,Female,All Races and Ethnicities,10.2,382,2813822,4,3,1
320,South Carolina,Colon and Rectum,2018,Female,All Races and Ethnicities,10.3,364,2620391,4,3,1
321,Florida,Colon and Rectum,2018,Female,All Races and Ethnicities,10.4,1810,10858944,4,3,1
322,New Jersey,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,705,4545338,4,3,1
323,North Carolina,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,743,5331288,4,3,1
324,Wisconsin,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,436,2918181,4,3,1
325,Oregon,Colon and Rectum,2018,Female,All Races and Ethnicities,10.7,315,2108799,4,3,1
326,Texas,Colon and Rectum,2018,Female,All Races and Ethnicities,10.8,1680,14409351,4,3,1
327,Michigan,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,780,5067862,4,3,1
328,Rhode Island,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,90,543427,4,3,1
329,Nevada,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,198,1508820,4,3,1
330,Arkansas,Colon and Rectum,2018,Female,All Races and Ethnicities,11.0,229,1531624,4,3,1
331,Delaware,Colon and Rectum,2018,Female,All Races and Ethnicities,11.0,80,498641,4,3,1
332,Maryland,Colon and Rectum,2018,Female,All Races and Ethnicities,11.3,454,3111203,4,3,1
333,Virginia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.3,630,4318025,4,3,1
334,Maine,Colon and Rectum,2018,Female,All Races and Ethnicities,11.5,129,683374,4,3,1
335,Georgia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.6,728,5399300,4,3,1
336,District of Columbia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.6,45,368643,4,3,1
337,Tennessee,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,535,3466921,4,3,1
338,Idaho,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,128,873205,4,3,1
339,Wyoming,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,42,283325,4,3,1
340,Vermont,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,61,316079,4,3,1
341,Illinois,Colon and Rectum,2018,Female,All Races and Ethnicities,11.8,1028,6471727,4,3,1
342,Missouri,Colon and Rectum,2018,Female,All Races and Ethnicities,11.8,509,3116702,4,3,1
343,Alabama,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,417,2524361,4,3,1
344,Alaska,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,39,351692,4,3,1
345,Pennsylvania,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,1223,6529381,4,3,1
346,Indiana,Colon and Rectum,2018,Female,All Races and Ethnicities,12.3,555,3394211,4,3,1
347,South Dakota,Colon and Rectum,2018,Female,All Races and Ethnicities,12.3,75,435205,4,3,1
348,Ohio,Colon and Rectum,2018,Female,All Races and Ethnicities,12.4,1033,5953904,4,3,1
349,Iowa,Colon and Rectum,2018,Female,All Races and Ethnicities,12.6,297,1581655,4,3,1
350,Nebraska,Colon and Rectum,2018,Female,All Races and Ethnicities,12.7,170,964240,4,3,1
351,Louisiana,Colon and Rectum,2018,Female,All Races and Ethnicities,12.9,393,2385448,4,3,1
352,Kansas,Colon and Rectum,2018,Female,All Races and Ethnicities,13.0,253,1460588,4,3,1
353,Oklahoma,Colon and Rectum,2018,Female,All Races and Ethnicities,13.3,334,1987969,4,3,1
354,Mississippi,Colon and Rectum,2018,Female,All Races and Ethnicities,13.4,270,1535497,4,3,1
355,Kentucky,Colon and Rectum,2018,Female,All Races and Ethnicities,13.9,428,2263603,4,3,1
356,West Virginia,Colon and Rectum,2018,Female,All Races and Ethnicities,14.7,207,910982,4,3,1
357,Hawaii,Colon and Rectum,2018,Female,All Races and Ethnicities,7.3,81,709302,4,3,1
358,North Dakota,Colon and Rectum,2018,Female,All Races and Ethnicities,8.7,45,370046,4,3,1
359,Connecticut,Colon and Rectum,2018,Female,All Races and Ethnicities,8.7,240,1829397,4,3,1
360,Massachusetts,Colon and Rectum,2018,Female,All Races and Ethnicities,8.8,457,3542925,4,3,1
361,Utah,Colon and Rectum,2018,Female,All Races and Ethnicities,8.8,128,1565310,4,3,1
362,Colorado,Colon and Rectum,2018,Female,All Races and Ethnicities,9.3,304,2825526,4,3,1
363,Montana,Colon and Rectum,2018,Female,All Races and Ethnicities,9.4,69,526813,4,3,1
364,Washington,Colon and Rectum,2018,Female,All Races and Ethnicities,9.4,455,3758918,4,3,1
365,New Mexico,Colon and Rectum,2018,Female,All Races and Ethnicities,9.5,135,1057201,4,3,1
366,New Hampshire,Colon and Rectum,2018,Female,All Races and Ethnicities,9.5,97,682692,4,3,1
367,Arizona,Colon and Rectum,2018,Female,All Races and Ethnicities,9.9,477,3600640,4,3,1
368,New York,Colon and Rectum,2018,Female,All Races and Ethnicities,10.0,1415,10046133,4,3,1
369,California,Colon and Rectum,2018,Female,All Races and Ethnicities,10.2,2501,19843136,4,3,1
370,Minnesota,Colon and Rectum,2018,Female,All Races and Ethnicities,10.2,382,2813822,4,3,1
371,South Carolina,Colon and Rectum,2018,Female,All Races and Ethnicities,10.3,364,2620391,4,3,1
372,Florida,Colon and Rectum,2018,Female,All Races and Ethnicities,10.4,1810,10858944,4,3,1
373,New Jersey,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,705,4545338,4,3,1
374,North Carolina,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,743,5331288,4,3,1
375,Wisconsin,Colon and Rectum,2018,Female,All Races and Ethnicities,10.6,436,2918181,4,3,1
376,Oregon,Colon and Rectum,2018,Female,All Races and Ethnicities,10.7,315,2108799,4,3,1
377,Texas,Colon and Rectum,2018,Female,All Races and Ethnicities,10.8,1680,14409351,4,3,1
378,Michigan,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,780,5067862,4,3,1
379,Rhode Island,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,90,543427,4,3,1
380,Nevada,Colon and Rectum,2018,Female,All Races and Ethnicities,10.9,198,1508820,4,3,1
381,Arkansas,Colon and Rectum,2018,Female,All Races and Ethnicities,11.0,229,1531624,4,3,1
382,Delaware,Colon and Rectum,2018,Female,All Races and Ethnicities,11.0,80,498641,4,3,1
383,Maryland,Colon and Rectum,2018,Female,All Races and Ethnicities,11.3,454,3111203,4,3,1
384,Virginia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.3,630,4318025,4,3,1
385,Maine,Colon and Rectum,2018,Female,All Races and Ethnicities,11.5,129,683374,4,3,1
386,Georgia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.6,728,5399300,4,3,1
387,District of Columbia,Colon and Rectum,2018,Female,All Races and Ethnicities,11.6,45,368643,4,3,1
388,Tennessee,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,535,3466921,4,3,1
389,Idaho,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,128,873205,4,3,1
390,Wyoming,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,42,283325,4,3,1
391,Vermont,Colon and Rectum,2018,Female,All Races and Ethnicities,11.7,61,316079,4,3,1
392,Illinois,Colon and Rectum,2018,Female,All Races and Ethnicities,11.8,1028,6471727,4,3,1
393,Missouri,Colon and Rectum,2018,Female,All Races and Ethnicities,11.8,509,3116702,4,3,1
394,Alabama,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,417,2524361,4,3,1
395,Alaska,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,39,351692,4,3,1
396,Pennsylvania,Colon and Rectum,2018,Female,All Races and Ethnicities,12.1,1223,6529381,4,3,1
397,Indiana,Colon and Rectum,2018,Female,All Races and Ethnicities,12.3,555,3394211,4,3,1
398,South Dakota,Colon and Rectum,2018,Female,All Races and Ethnicities,12.3,75,435205,4,3,1
399,Ohio,Colon and Rectum,2018,Female,All Races and Ethnicities,12.4,1033,5953904,4,3,1
400,Iowa,Colon and Rectum,2018,Female,All Races and Ethnicities,12.6,297,1581655,4,3,1
401,Nebraska,Colon and Rectum,2018,Female,All Races and Ethnicities,12.7,170,964240,4,3,1
402,Louisiana,Colon and Rectum,2018,Female,All Races and Ethnicities,12.9,393,2385448,4,3,1
403,Kansas,Colon and Rectum,2018,Female,All Races and Ethnicities,13.0,253,1460588,4,3,1
404,Oklahoma,Colon and Rectum,2018,Female,All Races and Ethnicities,13.3,334,1987969,4,3,1
405,Mississippi,Colon and Rectum,2018,Female,All Races and Ethnicities,13.4,270,1535497,4,3,1
406,Kentucky,Colon and Rectum,2018,Female,All Races and Ethnicities,13.9,428,2263603,4,3,1
407,West Virginia,Colon and Rectum,2018,Female,All Races and Ethnicities,14.7,207,910982,4,3,1
408,Hawaii,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
409,Oregon,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
410,South Dakota,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
411,Delaware,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
412,Vermont,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
413,Minnesota,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
414,Alaska,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
415,Maine,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
416,Iowa,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
417,North Dakota,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
418,Colorado,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
419,Montana,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
420,New Mexico,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
421,Wyoming,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
422,Idaho,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
423,Kansas,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
424,Nebraska,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
425,Rhode Island,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
426,Washington,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
427,West Virginia,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
428,Utah,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
429,New Hampshire,Colon and Rectum,2018,Female,Black,0.0,0,0,4,3,3
430,Massachusetts,Colon and Rectum,2018,Female,Black,7.7,23,341914,4,3,3
431,Arizona,Colon and Rectum,2018,Female,Black,9.5,16,200971,4,3,3
432,Connecticut,Colon and Rectum,2018,Female,Black,10.0,22,239634,4,3,3
433,New York,Colon and Rectum,2018,Female,Black,11.7,261,1923612,4,3,3
434,South Carolina,Colon and Rectum,2018,Female,Black,12.5,101,753896,4,3,3
435,North Carolina,Colon and Rectum,2018,Female,Black,12.6,171,1270945,4,3,3
436,Florida,Colon and Rectum,2018,Female,Black,12.7,244,1928202,4,3,3
437,Virginia,Colon and Rectum,2018,Female,Black,13.4,130,918026,4,3,3
438,Georgia,Colon and Rectum,2018,Female,Black,13.6,237,1857964,4,3,3
439,California,Colon and Rectum,2018,Female,Black,13.7,207,1428458,4,3,3
440,Texas,Colon and Rectum,2018,Female,Black,13.8,236,1954693,4,3,3
441,Indiana,Colon and Rectum,2018,Female,Black,14.1,44,369099,4,3,3
442,Michigan,Colon and Rectum,2018,Female,Black,14.3,125,783118,4,3,3
443,Maryland,Colon and Rectum,2018,Female,Black,14.4,158,1028519,4,3,3
444,Arkansas,Colon and Rectum,2018,Female,Black,14.6,36,256169,4,3,3
445,Missouri,Colon and Rectum,2018,Female,Black,14.6,60,402799,4,3,3
446,Pennsylvania,Colon and Rectum,2018,Female,Black,14.8,132,842583,4,3,3
447,Illinois,Colon and Rectum,2018,Female,Black,14.9,170,1025025,4,3,3
448,Nevada,Colon and Rectum,2018,Female,Black,14.9,19,172213,4,3,3
449,New Jersey,Colon and Rectum,2018,Female,Black,15.0,121,732277,4,3,3
450,Wisconsin,Colon and Rectum,2018,Female,Black,15.0,24,216459,4,3,3
451,Alabama,Colon and Rectum,2018,Female,Black,15.8,123,715353,4,3,3
452,Ohio,Colon and Rectum,2018,Female,Black,15.8,137,845793,4,3,3
453,Kentucky,Colon and Rectum,2018,Female,Black,16.1,32,203019,4,3,3
454,Tennessee,Colon and Rectum,2018,Female,Black,16.3,99,631125,4,3,3
455,District of Columbia,Colon and Rectum,2018,Female,Black,16.3,38,183884,4,3,3
456,Oklahoma,Colon and Rectum,2018,Female,Black,16.4,24,175457,4,3,3
457,Louisiana,Colon and Rectum,2018,Female,Black,16.7,137,817853,4,3,3
458,Mississippi,Colon and Rectum,2018,Female,Black,16.8,102,605342,4,3,3
459,Arizona,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
460,Connecticut,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
461,Arkansas,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
462,Georgia,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
463,Indiana,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
464,Louisiana,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
465,Alabama,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
466,Montana,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
467,Michigan,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
468,Hawaii,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
469,Delaware,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
470,Minnesota,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
471,Iowa,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
472,North Dakota,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
473,New Jersey,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
474,Maine,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
475,District of Columbia,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
476,Tennessee,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
477,Colorado,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
478,Pennsylvania,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
479,Virginia,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
480,Ohio,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
481,Maryland,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
482,New Mexico,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
483,Mississippi,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
484,Kansas,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
485,Texas,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
486,Wyoming,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
487,Rhode Island,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
488,Idaho,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
489,Nebraska,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
490,Washington,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
491,Florida,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
492,New York,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
493,Kentucky,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
494,Illinois,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
495,Massachusetts,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
496,Missouri,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
497,Utah,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
498,North Carolina,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
499,West Virginia,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
500,Vermont,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
501,South Carolina,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
502,Oregon,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
503,Nevada,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
504,South Dakota,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
505,New Hampshire,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
506,Wisconsin,Colon and Rectum,2018,Female,American Indian and Alaska Native,0.0,0,0,4,3,4
507,California,Colon and Rectum,2018,Female,American Indian and Alaska Native,6.2,18,383212,4,3,4
508,Oklahoma,Colon and Rectum,2018,Female,American Indian and Alaska Native,17.3,30,215221,4,3,4
509,Alaska,Colon and Rectum,2018,Female,American Indian and Alaska Native,38.5,17,63370,4,3,4
510,Arizona,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
511,Connecticut,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
512,Arkansas,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
513,Louisiana,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
514,Michigan,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
515,Indiana,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
516,Alabama,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
517,Delaware,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
518,South Dakota,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
519,North Dakota,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
520,Alaska,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
521,Minnesota,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
522,Maine,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
523,Iowa,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
524,Montana,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
525,Colorado,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
526,Tennessee,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
527,Ohio,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
528,District of Columbia,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
529,Maryland,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
530,Mississippi,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
531,New Mexico,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
532,Rhode Island,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
533,Wyoming,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
534,Idaho,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
535,Kansas,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
536,Oklahoma,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
537,Nebraska,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
538,Massachusetts,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
539,Kentucky,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
540,Utah,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
541,West Virginia,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
542,Vermont,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
543,North Carolina,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
544,South Carolina,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
545,Oregon,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
546,New Hampshire,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
547,Missouri,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
548,Wisconsin,Colon and Rectum,2018,Female,Asian and Pacific Islander,0.0,0,0,4,3,5
549,New Jersey,Colon and Rectum,2018,Female,Asian and Pacific Islander,4.6,20,470303,4,3,5
550,Florida,Colon and Rectum,2018,Female,Asian and Pacific Islander,5.2,23,379145,4,3,5
551,Washington,Colon and Rectum,2018,Female,Asian and Pacific Islander,5.7,24,431588,4,3,5
552,Illinois,Colon and Rectum,2018,Female,Asian and Pacific Islander,5.8,24,405132,4,3,5
553,New York,Colon and Rectum,2018,Female,Asian and Pacific Islander,6.5,65,958629,4,3,5
554,Pennsylvania,Colon and Rectum,2018,Female,Asian and Pacific Islander,7.5,16,259112,4,3,5
555,Hawaii,Colon and Rectum,2018,Female,Asian and Pacific Islander,7.6,60,522397,4,3,5
556,Georgia,Colon and Rectum,2018,Female,Asian and Pacific Islander,8.0,16,251465,4,3,5
557,California,Colon and Rectum,2018,Female,Asian and Pacific Islander,8.1,351,3443357,4,3,5
558,Texas,Colon and Rectum,2018,Female,Asian and Pacific Islander,8.3,52,816180,4,3,5
559,Nevada,Colon and Rectum,2018,Female,Asian and Pacific Islander,8.6,18,169049,4,3,5
560,Virginia,Colon and Rectum,2018,Female,Asian and Pacific Islander,9.5,28,333679,4,3,5
561,Connecticut,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
562,Arkansas,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
563,New Hampshire,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
564,Missouri,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
565,Louisiana,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
566,Michigan,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
567,North Carolina,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
568,Indiana,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
569,Hawaii,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
570,Oregon,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
571,Alabama,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
572,Delaware,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
573,South Dakota,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
574,Minnesota,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
575,Vermont,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
576,Iowa,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
577,North Dakota,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
578,Alaska,Colon and Rectum,2018,Female,Hispanic,0.0,0,0,4,3,6
